アーティスト,曲名,歌詞,ラベル
Official髭男dism,ESCAPADE,何度見つめても足りない指でhold me tightまるで夢みたいどこの誰にでも言いたい想い伝えたい募りゆくばかり軽快なビートに乗っかって余生の相場を狂わして人生はまだイントロなんだって僕に耳打ちしたこの世界に溢れかえってる矛盾を全部解決するかのような華奢な体がそこに宿ったスマイルがありふれ過ぎた日常に新しくくれた曲がり角曲がって突き当たりの公園で偶然見つけた神様手を取り合って踊りませんか？Ah Ahどんな時でも守りたいただのby your sideいつでもウェンザナイどこの誰にも渡さない頬にコピーライトつけさして！いいじゃない！右も左もわからないでストイックにかつ無我夢中になる君のこと羨ましいなんて少し思ってしまったこの世界に敷き詰められた夢も全部叶え尽くすかのようなふたつの光ホワイトよりも白い声で断崖絶壁の夜空も吹き飛ばすほどの風が吹く銀色の月のその裏側で居眠りしている神様奇跡を頂きありがとサンキュー！Ah Ahこの世界に溢れかえってる矛盾を全部解決するかのような華奢な体がそこに宿ったスマイルがありふれ過ぎた日常に新しくくれた曲がり角曲がって突き当たりの公園で偶然見つけた神様手を取り合って踊りませんか？Ah Ah Ah　さあ！,1
Official髭男dism,Editorial,伝えたい　だけど語れないずっとこの気持ちの正体を僕は探してるだけどよそ見ばっかしているそっちの方が幸せだから飾らない　だけど嘘くさいずっとこの矛盾の正体が心を塞いでるだけど不自由さえ楽しんでるそっちの方が愛おしいから疲れが染み込んだ靴下　スニーカーそんな足跡もちゃんと残っている伝えたい　だけど語れないそんなこの気持ちの後先をここにだけ書き記すだけど上手く書けず喜んでるそっちの方が幸せだから朝日が来るように至極当然なことにも溢れている　隠れている思いを形にしたんだあなたにも受け取ってほしくて,1
Official髭男dism,可能性 (prod.Masayoshi Iimori),可能性あとどれくらい残っている？つぶして　Ah計算したくなる心年の瀬積み上がりゆくファイルの山崩して　さあ言葉を市松模様にしてUh AhUh Ah可能性何度でも頭でチャージして探せ　Ah僕も君も頷ける言葉年明け邪魔をするプライド風の枷外して　さあセンスは後ろから付いてくるUh AhUh Ah可能性その先に僕は何を見る？赴いて　さあ確かめたら帰ろうか帰ろうか,1
Official髭男dism,黄色い車,「行ってきます」　この人生でもう何度口にしたのだろう「いってらっしゃい」と言われるのも今日で最後になってしまうんだな妙に片付いた僕の部屋　もの置きになんかしないでね窓から見える大山も　ドアを閉めてさようなら旅立ちの音が窓の向こうから呼んでるエンジンのくせしてバラードみたいに切なくて困ってしまうよきっとこれから楽しい事たくさんあるよ大して用がなくても電話して　たまには愚痴って笑おうよ遠くに行くけど一度も忘れたりしないよ辛くてもラララ歌って　どうか元気でまた会えますように庭の端っこでいつだって出迎えてくれた広葉樹の花が咲くのは見られないまま出て行くことになってしまった夕日と君に背を向けて　僕の未来は動きだすバックミラーに映る街　目の奥に焼き付けた色んな景色を見せてくれて嬉しかったよ今度は僕が見せる番だから行ってくるんだよ期待していてよきっとこれから楽しい事たくさんあるよ大して用がなくても電話してたまには愚痴って笑おうよ素敵な思い出を今まで本当にありがとう遠くからでも届くように　大きな声で歌うよラララ辛くてもラララ歌ってどうかいつまでも元気で,1
Official髭男dism,Cry Baby,胸ぐらを掴まれて　強烈なパンチを食らってよろけて肩を並べうずくまった予報通りの雨にお前はにやけて「傷口が綺麗になる」なんて嘘をつくいつも口喧嘩さえうまく出来ないくせして冴えない冗談言うなよあまりのつまらなさに目が潤んだ何度も青アザだらけで涙を　流して　流して不安定な心を肩に預け合いながら　腐り切ったバッドエンドに抗うなぜだろう　喜びよりも心地よい痛み　ずっしりと響いて濡れた服に舌打ちしながら　腫れ上がった顔を見合って笑う土砂降りの夜に　誓ったリベンジ胸ぐらを掴み返して　反撃のパンチを繰り出すくらいじゃなきゃお前の隣には立てないから相手が何であれ日和らない　何度伸されても諦めない忘れるな忘れるなと言い聞かせ続けたのに傘はいらないから言葉を一つくれないか微温い優しさではなく弱音に侵された胸の奥を抉るような言葉を何度も青アザだらけで涙を　流して　流して不安定な心を肩に預け合いながら　腐り切ったバッドエンドに抗うなぜだろう　喜びよりも心地よい痛み　ずっしりと響いて濡れた服に舌打ちしながら　腫れ上がった顔を見合って笑う土砂降りの夜に　囚われの日々に　問いかけるように光った瞳の中で　誓ったリベンジ,1
Official髭男dism,Clap Clap,手を挙げてclap clap　マイナス思考にclap clapもう終わりにしようよ人生のピークなんてclap clap決めつけないでほらclap clapまだまだこれからでしょう？躓いて来た石ころを　拾ってばかりじゃすぐ持ちきれなくなるでしょう？その手を開いて　ここに置いて行こうしぶといトラウマも全部　払おうclap clap clap　手を叩け！ 憂鬱を追い出せ！「報われない」なんてさ 立ち止まってなんかいないでclap clap clap　目を覚ませ！　退屈を抜け出せ！すばらしい世界さ　目を開いてちゃんと見つめて手を挙げてclap clap　劣等感にもclap clapもう終わりにしようよ完璧主義者もclap clap　自分の足跡にclap clapまだまだこれからでしょう？「このままじゃ駄目だ！」と　探し続けよう理想の自分に勝てなくてもいいからclap clap clap　手を叩け！　憂鬱を追い出せ！「報われない」なんてさ　立ち止まってなんかいないでclap clap clap　目を覚ませ！　退屈を抜け出せ！周りの音に甘えず鳴らせ！clap clap clap　手を叩け！　憂鬱を追い出せ！「報われない」なんてさ　立ち止まってなんかいないでclap clap clap　目を覚ませ！　退屈を抜け出せ！いつでも側で こうしてくれる君が居るから　胸を張っていられるんだclap clap clap　手を叩け！　憂鬱を追い出せ！,1
Official髭男dism,恋の去り際,思い悩み　真夜中に飛び出した冷たい風に吹かれながら点滅信号を見上げた耳を澄ましても　君の声は聞こえない車から漏れたヒップホップがサイレンみたいに過ぎてくもう忘れたいんだ　あの瞬間真っ白な光に　照らし出されたねえ あの時　君はどんな思いで傍にいたのあんなに好きだと言い合って頬をくっつけ笑って撮った写真にもこっそり写り込んでいた　悲しい恋の去り際君から貰った幸せの全てが目から心から音も無く消えたまだ信じられないまま遠くでぼやけた赤黄色の光思い出だらけのこの街は眩しすぎて目を閉じた認めたくないんだ　辛いんだ報われることのない脇役のようにただ傷つくこと以外に何一つ出来ずに壊れてしまった最愛の毎日は欠片が刺さって本当に痛かったもう二度と戻らない　終わりなんだと知った貰った手紙は読み返せないくせに大事にしまって捨てられないままいつかは忘れられたらあんなに好きだと言い合って頬をくっつけ笑って撮った写真にもこっそり映り込んでいた　悲しい恋の去り際君から貰った幸せをいつかは　全部消して忘れてそれ以上の幸せをきっと見つけるから,1
Official髭男dism,恋の前ならえ,2人の見えない明日に向かって小さく前ならえして背についた手小さい手離さないでどこまでも行こう何気ない日差しと熱くなったアスファルト重なった一つ足音「私後ろがいい」とルール違反の笑顔意味もなく行進しよう通りすがりの鳥の小馬鹿にした鳴き声を号令にワン、ツーで進もう遠くでなったクラクション２人きりのパレードひっついて歩こう憂い悩みはじめたら　余計によそ見はダメ僕の背中について来て　落とした西日が　2人の影　嬉しそうさワン、ツー、スリーで2人の見えない明日に向かって小さく前ならえして「あなたの背、小さいね」そう言ってからかってる君のことをいつまでどこへでも引っ張って連れてってやろうそうしたいんだ振り向いて抱きしめてって歩いて行こううしろから続く君をいつまでも引っ張るとずっと幸せにすると言い張った当の僕のせいで君は泣き顔回れ右してごめんよ憂い悩みはじめたら　余計によそ見はダメ僕の背中について来て落とした西日が2人の影嬉しそうさワン、ツー、スリーで二人の見えない明日に向かって小さく前ならえして「あなたの背、小さいね」そう言ってからかってる君のことをいつまでどこへでも引っ張って連れてってやろうそうしたいんだ振り向いて抱きしめてって歩いて行こう振り向いて抱きしめて2人で小さく前ならえ振り向いて抱きしめてって歩いて行こう振り向いて2人で小さく前ならえ,1
Official髭男dism,Choral A,「つまんねぇと嘆いたら　誰かが心を乾かしてる」冷えたグラス持った友人が　疲れを浮かべ今日もつぶやく「もうやめにしよっか」「まだやれそうさ」いつかの子どもらの夏が浮かび消える街を過ぎた雨と　それを待ってたような綿毛が風に飛ばされ運ばれて　今、たどり着いたひとひら「きっとここで会えた意味がある」と　言ってるみたいに囁くよ「こたえておくれ」とふとした時に顔を出す後悔　目では見えやしないけどそれは涙や笑みに寄り添って　離れぬように語り出すいつか思い出して　ひとつ数えて何度もここで待ってるから胸の宵かがりは　黒い髪を縛ったあなたが古い写真機に閉じ込めたままで誰にも見せてないけど次に開く時は声に出して　小さい靴を指差して「もうやめにしようか」「まだやれそうさ」何度も同じような夜　でもその声が繋いでいるんだ迎えに行かなくちゃな　この想いを忘れないようにしないとな街を過ぎた雨とそれを待ってたような綿毛が風に飛ばされ運ばれて　今、たどり着いたひとひら「きっとここで会えた意味がある」と言ってるみたいに囁くよ「こたえておくれ」と,1
Official髭男dism,コーヒーとシロップ,「今会いたいな。嫌なことあったから」そう言って僕は真夜中　君を起こした寒い夜だった　ため息は白くなったカップに注いだコーヒーは憂いを映した例えば　何十年先に偉くなれたならそしたら　これでよかったと笑えるんだろうか？例えば　明日僕が会社を休んだならそしたら　「代わりはいるさ」と笑い出すのか？嫌なこと全部飲み干してその場をただただやり過ごしてカップの底見つめふがいなさのシロップを落としてとにかく全部飲み干していつかは全部吐き出してそれで笑って、歌っていられたらな朝が嫌になった　テレビも嫌になったいつも時間に数字に　追われる毎日不思議に思った　君は平気なんだろうか？笑顔の裏に隠した　言葉はなんだ？例えば　何十年先に偉くなれたならそしたら　僕もあんな風に威張りだすんだろうか？例えば　君が明日どこかへ逃げ出したならそしたら　「誰でもいいさ」と笑い出すのか？嫌なこと全部飲み干してその場をただただやり過ごしてすっかり甘くなって苦さも感じなくなってしまったなまだまだ全部飲み干していつかは全部吐き出してそれで笑って、歌っていられたらな間違えたから謝るんだ　それくらい簡単ならば笑って明日を待てるのに　まだ「出来ないから」と攻められてほらこのカップのふちで僕は今も飛び込む時をそっと待っている堪えて堪えて高いところから吐き出す時を嫌なこと全部飲み干してその場をただただやり過ごしてカップの底見つめふがいなさのシロップを落としてとにかく全部飲み干していつかは全部吐き出してそれで笑って歌っていられたらな,1
Official髭男dism,最後の恋煩い,最後の恋煩いを始めよう何度も「これが最後」って言いあおう目を閉じたって　見落とせないだろう日々の呼吸が乱れだす瞬間まあいっかなんて放っておいたら真っ逆さまジ・エンドそれだけは回避しなくちゃな特大の罵声も　受け取るからいっそいい人なんてやめちゃえよ生前贈与の冊子の表紙を飾るような年頃になっても全てを語らいあう2人でいたい最後の恋煩いを始めよう「うんざりだよ　これだからもう！」　って言いながらも笑みがこぼれる何度も「これが最後」って言い合おう最後の意味がすり減ってゆくこと幸せの意味みたいに　思えた　僕ら Uh慣れたふりで　やり過ごせるほどタフな心なんてない　一切合切堪え続けた後で　勝手にオーバーヒートそれは理不尽すぎるなあ断腸の思いを投げ合うのはきっと僕らだけが持ち合わせた専売特許とは言っても常識の範囲を超えてしまいそうだと頭を両手で抱えて Uh！！！！最後の恋煩いを始めよう「似たようなこと　前あったよもう！」って言いながらもどこか不可解で今夜も儚い迷い星に問う最後の意味が増してきて　眠れない夢の波間に残されて立ち尽くしている突然に一瞬だけ光って　消える綺麗な　思い出よりやんちゃな終身派　しょうもない事でも　ご愛嬌最後の恋煩いを始めよう「うんざりだよ　これだからもう！」て言いながらも笑みがこぼれる何度も「これが最後」って言い合おう最後の意味がすり減ってゆくこと幸せの意味みたいに　思えた　僕ら　大丈夫だな Uh,1
Official髭男dism,Subtitle,「凍りついた心には太陽を」　そして「僕が君にとってそのポジションを」そんなだいぶ傲慢な思い込みを拗らせてたんだよ　ごめんね　笑ってやって火傷しそうなほどのポジティブの　冷たさと残酷さに気付いたんだよきっと君に渡したいものはもっとひんやり熱いもの綺麗事じゃないけど　綺麗で揺るぎないものうわべよりも胸の奥の奥を温めるもの理想だけはあるけど　心のどこ探しても　まるで見つからないんだよ伝えたい伝わらない　その不条理が今　キツく縛りつけるんだよ臆病な僕の　この一挙手一投足を言葉はまるで雪の結晶　君にプレゼントしたくても夢中になればなるほどに　形は崩れ落ちて溶けていって　消えてしまうけどでも僕が選ぶ言葉が　そこに託された想いが君の胸を震わすのを　諦められない　愛してるよりも愛が届くまでもう少しだけ待ってて薄着でただそばに立ってても　不必要に汗をかいてしまう僕なんかもうどうしたって生温くて君を痛めつけてしまうのだろう「手のひらが熱いほど心は冷たいんでしょう？」冗談でもそんな残酷なこと言わないでよ別に言えばいいけど　全人生を賭けても　ちゃんと覆さしてよ救いたい＝救われたい　このイコールが今　優しく剥がしていくんだよ堅い理論武装　プライドの過剰包装を正しさよりも優しさが欲しい　そしてそれを受け取れるのはイルミネーションみたいな　不特定多数じゃなくてただ1人君であってほしいかけた言葉で　割れたヒビを直そうとして足しすぎた熱量で　引かれてしまったカーテンそんな失敗作を　重ねて　重ねて　重ねて見つけたいんだいつか　最高の一言一句を言葉はまるで雪の結晶　君にプレゼントしたとして時間が経ってしまえば大抵　記憶から溢れ落ちて溶けていって消えてしまう　でも絶えず僕らのストーリーに　添えられた字幕のように思い返した時　不意に目をやる時に君の胸を震わすもの　探し続けたい　愛してるよりも愛が届くまでもう少しだけ待ってて言葉など何も欲しくないほど　悲しみに凍てつく夜でも勝手に君のそばで　あれこれと考えてる　雪が溶けても残ってる,1
Official髭男dism,されど日々は,昨日から続く両足の痛みを笑ってられるのは壊れて元通りになることを知ってるから欠かさず持っていた小さなガラスを割ってしまっても不機嫌になりながら代わりを頼めばいいだけなんだこれから先失うものばかり増えて行くんだろう体の軋んだその音さえ愛していけたらされど日々は今日も僕をまたひとつ疲れさせて生きてく意味　愛の形　少しずつ壊していく心が食べきれずに残した不安はいつの間にか膨れて希望も何もかも飲み込んでしまってた　Ahこれから先悲しい事ばかり増えていくとしても感情のネジは錆び付いてて涙も流れないだけど僕はまだ少しだけ時計に抗って生きてるされど日々は今日も僕を　またひとつ疲れさせて生きてく意味　愛の形　少しずつ壊していく,1
Official髭男dism,始発が導く幸福論,夜明け並に冷たい風が冴え渡った腰掛けたベンチかすめる明け方のプラットフォーム長いことここにいたようにもとれる影は実は風前の灯火と　二人は知っていた数分もすれば暗がりから出てくるあいつは鉛の塊鋭いスピードでやって来るそうやって始発が君をさらってく　何気なく肩に力入れまあいっか…またいつか…　人前ではそう言い切れるのに幸せって思いがあるから　心はそれに酔いしれていたから素直じゃない僕をなんとか丸め込んだ季節は巡って　薄着で出歩くころ同じようにして訪れる明け方のプラットフォームまたあいつが仰々しい音立ててやってきた君は慣れた素振りで軽々腰をあげたんだ繰り返していれば　徐々に僕もすらり言えるはずだったんだ「またね」遮るようにして閉まるドアまたもや始発が君をさらってく　泣かないって決めてたはずなのに見送った　手を振った　なんと情けない顔を伏せた幸せって思い出なんかより　君をあと一度だけぎゅっとしときゃ良かったな振り返ればトンネルに消えていったアーティスティックに切り取られた思い出は　今や気休め以下になっていた諦め悪かった僕もついに愛想を尽かし一足遅れの後悔だけがそっと寄り添ったいつもそうなんだ懲りないんだ　いなくなってから追いかけるんだぎゅっとしたかった相手は　始発が連れてったそんなもんなんだ　この涙が幸せって証と思えばまだ頭の悪い僕でさえ　とりあえず落ち着くかな？そう思う努力をしてるんだけど　まだまだだめなんだ　まだまだだめなんだ,1
Official髭男dism,Shower,曇った窓に指をはしらせて　雑な似顔絵を描き合った思い出などない似ても似つかないとケチをつけ消してもちゃんと残った名画を笑えただろうにな困ったことに月日は流れて　周りを取り巻く環境は随分と大人びた駄菓子やテレビゲームなんてなくても生きられるような人になんてそうなれるはずないのに春の夜風の冷たさのどさくさに紛れて　肩が触れてからのことを鮮明に覚えているまるでシャワーのように幸せを浴びせ合ってた　あの頃はどうだった？今は良くも悪くも落ち着きってものを備えながらここまで来たけどシャワーの後にバスタブの中で立ち上る湯気のようにほらいつだって僕らはお互いの顔を赤らめることが出来るはずなんだそう信じてやまない曇った窓を晴らし走る車　電車に揺られた二人の背中を追い越した昔住んでた部屋の前をうっかり通った時に灯った電気にスピードを落とした6畳のワンルーム　でも壁はそこそこ厚く近くに手頃なスーパーがあって買い物に困らずコンビニだけは遠く　違う、駅もやっぱり遠く帰り道に始まる夕飯のおかずウォーズあまりにもマジックアワーと呼ぶことは容易かったし　多分正しいのかなだけど過去のままごとと比類ないくらいの幸せが今も降り注いでるシャワーのように垂れ流す季節と衰えていく様の中どうにか僕らは年甲斐ってものとそれなりに上手く付き合っていられてるから冷めやることを知らない写真を撮ることもなくなって　名前を呼ぶことも減っちまってあまつさえ目を見て話すことさえ不可能になってマルチタスクな家事と怒りやすくなった僕に君はマスクの裏で分かりやすくため息ついたそんな未来さえ憂いてた　僕たちはどうやらそんな日々に辿り着くには子供じみすぎていたあの頃のシャワーを今でも浴びせよう　ふやけるくらいが多分ちょうど良いやいつか肌や髪の毛の曲がり角さえも笑いに変えながら曲がればいいシャワーの後にバスタブの中で立ち上る湯気のようにほらいつだって僕らはお互いの顔を赤らめることができるはずなんだそう信じてやまない蛇口が開き今日も　笑みがこぼれる曇った窓に指をはしらせて　雑な似顔絵を描き合った思い出などなくても駄菓子やテレビゲームに囲まれ　変わらないままで変わったままで　暮らしていこうよ,1
Official髭男dism,宿命,心臓からあふれ出した声で歌うメロディ　振り向いた未来君から溢れだした声と合わさって響いた　群青の空の下夢じゃない　夢じゃない　涙の足跡嘘じゃない　嘘じゃない　泥だらけの笑顔夢じゃない　夢じゃない　肩を組んで叫びたい僕らの想い　届け！奇跡じゃなくていい　美しくなくていい生き甲斐ってやつが光り輝くから切れないバッテリー　魂の限り宿命ってやつを燃やして　暴れ出すだけなんだ沈黙が続いたイヤフォン自分の弱さに遠ざかってく未来「大丈夫」や「頑張れ」って歌詞に苛立ってしまった　そんな夜もあった夢じゃない　夢じゃない　あの日の悔しさと忘れない　忘れない　掌の爪痕無駄じゃない　無駄じゃない　それも全て讃えたいもうあと少し願いの熱さに　汗まみれになったり期待背負って立って　重さに臆病になるけど僕らの背番号　それは背中じゃなく瞳の奥のアンサー　重なって　照らしあってくFOREVER緊張から不安が芽生えて根を張るみたいに　僕らを支配するそんなものに負けてたまるかと今　宿命ってやつを燃やして　暴れ出す届け！奇跡じゃなくていい　美しくなくていい生き甲斐ってやつが光り輝くから切れないバッテリー　魂の限り宿命ってやつを燃やして　暴れ出すだけなんだただ宿命ってやつをかざして　立ち向かうだけなんだ,1
Official髭男dism,Sweet Tweet,愛する君の声がどんな歌より聴きたくなったそれだけなんだよ話すことも大して決めちゃないんだよ恋するだけの僕の相手をちょっとだけしてほしいんだ震える指でダイヤルする夜はスロー再生で少しかすれた低くも高くもない普通のトーンで笑うときだけいつもの声より二音半あがる君の口癖や適当な相槌さえも記憶のど真ん中に色濃く焼き付いたんだ愛する君の声がどんな歌より聴きたくなったなにを話しても心はフワッと宙に浮いたまま本当はもっとちゃんと気の利いたことも言いたいんだでも難しくて黙ったまんま見上げた秋の星空遠く離れた君の街から僕に声が届いた今すぐ会いに行けないことを切なく感じた気づけば三時間！自然と続いてしまう会話一瞬で白んだ空　じゃあねと眠りについた愛する君の声が恋するだけの僕は愛する君の声がどんな歌より素敵なんだ聴けば心が踊りだす　なんてステキな恋なんだ！愛する君の声はメロディ　恋する僕刻むメモリー愛する君の声はメロディ　恋する僕刻むメモリー,1
Official髭男dism,Stand By You,完成形を口に出すとシラけてしまいそうだから音でかき消そう　無駄なもんを　気にしないでふざけ合いたいどんなに凄い本や映画より　色あせない不滅の日々を重ねて歩きたいStand By You　いつもStand By You涙のターミナル　Uh Uh　並んで立っているStand By You　いつもStand By You未来がハイになる　Uh Uh　君と歌になるStand By You　Oh Oh　眠らない街の喧騒を抜け出して　YeahStand By You　Oh Oh　光溢れた夢の続きは君と共に名無しの感情　持て余すと　上手く笑えなくなるから一緒に燃やそう　その思いを　語り尽くして笑い合いたいどんなに凄い賞や順位より　君のそばに居られることが1番誇らしいStand By You　いつもStand By You涙のターミナル　Uh Uh　並んで立っているStand By You　息を切らしていく期待で汗ばんでいく　Uh Uh　君と明日へ行くStand By You　Oh Oh　瞬きも忘れるほどの幸せで　YeahStand By You　Oh Oh　終わらせかけた話の先が生まれ始めるたとえ僕ら遠く離れた場所へ行こうとも変わらずにいたいよな？　変わるはずがないよな？Stand By You　いつもStand By You涙のターミナル　Uh Uh　並んで立っているStand By You　いつもStand By You未来がハイになる　Uh Uh　君と歌になるStand By You　Oh Oh　眠らない街の喧騒を抜け出して　YeahStand By You　Oh Oh　光溢れた夢の続きは君と共にStand By You,1
Official髭男dism,Second LINE,君からSOS　急に耳へ飛び込んだ今にも消えそうなか細い声だ透明な救難信号が眩しいくらいに僕を照らした何があったんだ？　気にならないわけないさそれでも今はぐっとこらえるんだとにかく君のアパートへレスキューを急ぐよ何も言えなくていい気も使わなくていいんだ守秘義務には厳しい窮屈なご時世だからさAh　部屋着のままほぼありのままで君はただ僕を見てフッと笑えば良いからBABY滑稽で痛快なピエロになっておどけた顔で会いに行くよ君のSOS　その悩みの元凶を消し去ることがもし出来なくてもシロップまみれの瞳にささやかなユーモアを何も言えなくていい気も使わなくていいんだ片付いてなくてもいいドアの鍵だけ開ければいい汗にまみれて肩で息をして僕は今やけに長い坂道の途中さBABY全身で全霊で夜をキックしてもうあと少しどうか待っててAh　部屋着のままほぼありのままで君はただ僕を見てフッと笑えば良いからBABYいつだってこうやって駆けつけるから適当な相槌でもてなしてよ君の君だけのピエロになっておどけた顔で会いに来たよ,1
Official髭男dism,ゼロのままでいられたら,繋いだ手を離せば　また会う日まで1人で「声聞くだけで良い」なんて　強い人を演じて本当はずっと数えてる　また会えるまでの日々をため息とただの呼吸の区別ももうつかないよ「じゃあね」と手を振って橋の向こうのバス停へ消えてく背中が恋しくて「あと5日」風が指の間くすぐって消えてったそれは寂しさを煽るようで一体　何年先の未来までこうやって会えない日を数えなきゃいけないのだろう？「笑い合った時間、思いの重さ」に比例して離れると余計に胸が痛いよどんな数が掛かっても変わらないゼロのままでいられたら繋いだ手を離せば　この街はとても寒くて遠くに消えていく背中　1人で待つことしか出来ない笑顔で見送って、会えない日々が始まって言葉よりもずっと長い長い「あと5日」寂しさはいつだって抑え込んで隠して「隣に居られるなら、それでいいから…」一体 何年先の未来までこうやって永久の愛なんてあてにしていけるだろう？心から「幸せだ」なんて言えるような未来を待ち焦がれて今日も1人が辛いよああ　そんな不安も　わがままも　哀しすぎて言えない一体何年先の未来までこうやって会えない日を数えなきゃいけないのだろう？「笑い合った時間、思いの重さ」に比例して離れると余計に胸が痛いよどんな数が掛かっても変わらないゼロのままでいられたら,1
Official髭男dism,相思相愛,「最低でクズな男になった気分はどうだい？」僕は僕に問う責めるつもりはないんだでもグチくらい言わせてくれたっていいだろう我ながら少し見損なったよ「さよなら」だけで片付けてさ「はいそうですか」ってなるには月日はあまりに重なりすぎたからせめて最後くらいは「相思相愛じゃない」「疑う余地もなく愛はない」それくらい言ってしまったって良いじゃないほんとずるいよな自分勝手だよな　ありえないそれもちゃんとわかってたんじゃない？想い合ってりゃ上手くいくような歳でもなくなったけど想い合うからこそ僕は彼女の部屋にわざと忘れ物をしたんだよせずにはいられなかったんだよ「さよなら」それだけのシンプルなたった四文字で終わっておけば「ごめんな」そう言えばいつでも全てをやり直せる気がした「相思相愛じゃない」「疑う余地もなく愛はない」そこまで言い切る覚悟は出来てない最後の最後で中途半端なんてもう　情けない痛いほど分かってたって辛い「相思相愛じゃない」「疑う余地もなく愛はない」「今後一切いない」「彼女はもう僕のもんじゃない」恋しくて寂しくってたまらない傷つけすぎたな堪えられなかったな　もうおしまいどうかもっともっと幸せになってください相思相愛　サンキューグッバイサンキューグッバイ…,1
Official髭男dism,たかがアイラブユー,「愛してる」またはそれ準じた言葉の類いを投げ合ってきたけど想いの密度とか意味合いからは目をそむけてきた僕の愛は君にはどんな風に届いたんだ？お気に召したかな？って考え出したらとても不安になってしまうよそれでもつないだありきたりな言葉の先にはあり得ないと思っていた奇跡があったたかがアイラブユー　ラブユー常套句のNEED YOU NEED YOUそれでも僕ら相も変わらず愛を叫ぶたかがアイラブユー　ラブユー聞き飽きたNEED YOU NEED YOUお互いのI(アイ)が首をもたげあって生まれていくどうしても分かり合えない愛のトラブルを怖がってきたけど流れるニュースの大半は愛なき往復ビンタだから手をつないで喧嘩をしよう最高の妥協点で会おう卒業アルバムみたいにいつか笑えるように傷跡隠した意地やプライドのメイク落としたらあり得ないほどハッピーな世界になったたかがアイラブユー　ラブユー常套句のNEED YOU NEED YOU言葉にいつも　いつも必ず愛を混ぜるたかがアイラブユー　ラブユー聞き飽きたNEED YOU NEED YOUお互いの哀を愛で照らしあって歩いていくサイケデリックでやっぱり怖くて　でも相容れなくたってwith LOVEあり得ないと思っていた奇跡があったたかがアイラブユー　ラブユー(されどアイラブユー)常套句のNEED YOU NEED YOU(だけどI NEED YOU)それでも僕ら相も変わらず愛を叫ぶたかがアイラブユー　ラブユー(されどアイラブユー)聞き飽きたNEED YOU NEED YOU(だけどI NEED YOU)お互いのI(アイ)が首をもたげあって　生まれていく(されどアイラブユー　だけどI NEED YOU)たかがアイラブユー　聞き飽きたNEED YOU(されどアイラブユー　だけどI NEED YOU),1
Official髭男dism,旅は道連れ,ちょっと遠い国へ行って　ぶらりパンをかじって街の営みに溶けて　いなくなってしまうのもいいな　写真のサファイアそれじゃ新しき地図を買って悪くない場所へGOですどうです？旅立ちの合図は　外の晴れた空冷えたヨーグルトが　空になったら行こうか下らないジョークが　聞き慣れたノイズが僕らのアイデアに　虹みたいに光って色を重ね出すだれかが言ってた口ぐせは　「いつだって旅は道連れ」もっとああなりたいだとかずっとこうしてたいだとか時々ひとりで考えそうですそんな風な夜が僕らを待ってる僕らの失敗が　誰かを苦しめてお互いの荷物の　重みは分からないだけど忘れないで　喜びと後悔似たもんで出来てる　誰かと笑えるように旅立ちの合図は　外の晴れた空冷えたヨーグルトが　空になったら行こうか下らないジョークが　聞き慣れたノイズが僕らのアイデアに　虹みたいに光って色を重ね出すだれかが言ってた口ぐせは「いつだって旅は道連れ」「いつだって旅は道連れ」,1
Official髭男dism,ダーリン。,ここに来るまではいつもの見慣れたあの景色だ街並みに混ざる君　目を閉じうつむく君でも特等席はいつもちゃんと用意されていて僕は座るたびにいつも胸が高鳴る日々の憂鬱が言葉になって　裾を引きずってしまう時があってもなんとかして前を見てほしいから　背中押すように　大きな声で叫ぶんだずっとずっと忘れないでいて欲しいの　その笑顔の作りかたをずっとずっと　そういつまでも願って歌ってるから叶わぬないものねだりでもずっとずっと目を開いていてごらんよぼやけにじむ世界もたまには悪くはないでしょ？窓に映る字が白く光って　終わりを知ってただただ立ち尽くす　声がかすれていく逢いに来てくれたことが愛しさから苦しさに変わっていたからなんだか余計に辛くなって　でも逃げるなんてとてもできなかったんだなぜならずっとずっと好きでい続けてしまったの　その後ろ姿も声もずっとずっと見つめあって離さないでいたいけれど上手くいかないものねダーリンでもきっときっと何度だって会えると思うよだからいつも僕の方が先にここで待っていることにするよたとえないものねだりでもずっとずっと忘れないでいて欲しいの　その笑顔の作りかたをずっとずっと　そういつまでも願って歌ってるから叶わぬないものねだりでもずっとずっと目を開いていてごらんよ明日の予定もたてられないほどに　今が愛おしくなっていくよほらこんな世界も悪くないでしょ？,1
